,date,home,away,score,play_round,home_goals,away_goals,url,home_manager,away_manager,home_sheet,away_sheet
162,16/10/2004,Luton Town,Huddersfield Town,1:2,13,1,2,unknown,,,[],[]
163,16/10/2004,Milton Keynes Dons,Brentford FC,0:0,13,0,0,unknown,,,[],[]
164,16/10/2004,Stockport County,Peterborough United,1:0,13,1,0,unknown,,,[],[]
165,16/10/2004,Swindon Town,Oldham Athletic,1:0,13,1,0,unknown,,,[],[]
166,16/10/2004,Tranmere Rovers,Bradford City,4:5,13,4,5,unknown,,,[],[]
167,16/10/2004,Wrexham AFC,Walsall FC,1:1,13,1,1,unknown,,,[],[]
168,17/10/2004,Sheffield Wednesday,Barnsley FC,1:0,13,1,0,unknown,,,[],[]
170,19/10/2004,Bradford City,Blackpool FC,2:1,14,2,1,unknown,,,[],[]
171,19/10/2004,Brentford FC,Hartlepool United,2:1,14,2,1,unknown,,,[],[]
172,19/10/2004,Colchester United,Wrexham AFC,1:2,14,1,2,unknown,,,[],[]
173,19/10/2004,Huddersfield Town,Tranmere Rovers,1:3,14,1,3,unknown,,,[],[]
174,19/10/2004,Oldham Athletic,Bristol City,0:0,14,0,0,unknown,,,[],[]
175,19/10/2004,Peterborough United,Sheffield Wednesday,1:1,14,1,1,unknown,,,[],[]
176,19/10/2004,Port Vale FC,Swindon Town,1:0,14,1,0,unknown,,,[],[]
177,19/10/2004,Torquay United,AFC Bournemouth,1:2,14,1,2,unknown,,,[],[]
178,19/10/2004,Walsall FC,Luton Town,2:0,14,2,0,unknown,,,[],[]
179,20/10/2004,Chesterfield FC,Stockport County,4:0,14,4,0,unknown,,,[],[]
180,20/10/2004,Barnsley FC,Doncaster Rovers,1:3,14,1,3,unknown,,,[],[]
181,20/10/2004,Hull City,Milton Keynes Dons,3:2,14,3,2,unknown,,,[],[]
183,23/10/2004,Barnsley FC,Swindon Town,2:2,15,2,2,unknown,,,[],[]
184,23/10/2004,Bradford City,Sheffield Wednesday,3:1,15,3,1,unknown,,,[],[]
185,23/10/2004,Brentford FC,Blackpool FC,0:3,15,0,3,unknown,,,[],[]
